Estadisticos,EDAD_ACTUAL,PROM_NOTAS_E_MEDIA,PUNTAJE_NEM,PUNTAJE_RANKING,PTJE_LENGUAJE,PTJE_MATEMATICA,PTJE_HIST_CS_SOCIALES,PTJE_CIENCIAS,PROM_LENG_Y_MAT,PTJE_PONDERADO,INGRESO_BRUTO_FAMILIAR,PROMEDIO_PRIMER_ANNIO,PROMEDIO_ALUMNO_EN_CARRERA,CANT_RAMOS_INSCRITOS_CARRERA,CANT_RAMOS_APROBADOS_CARRERA,PORCENTAJE_AVANCE_CARRERA,CANT_DEUDAS_DISTINTAS_EN_EL_ANNIO,CANT_RETIROS_TEMPORALES,CANT_RAMOS_OP2,CANT_RAMOS_OP3,CANT_RAMOS_OP4
promedio,22.855882352941176,5.537016949152543,540.2406779661017,557.2881355932203,482.2440677966102,490.99661016949153,327.9457627118644,302.82372881355934,485.90677966101697,463.6,5.2809917355371905,4.510682492581602,4.26875,28.698863636363637,23.482954545454547,41.93375,0.043418560606060606,0.029166666666666667,2.028409090909091,0.26704545454545453,0.05113636363636364
mediana,22,5.48,527,534,500,515,455,420,504,515,5,4.76,4.53,25,21,37.5,0,0,1,0,0
des.Estandar,2.8698094020017177,0.4551241697776891,91.83536570459455,112.80943097055281,109.9550066781901,116.13537427734063,254.82828106515922,234.06303902527912,108.83844337641432,204.2782449516938,2.768294531663728,1.092986765030512,1.2313398650445226,16.993050326199807,15.975399332673467,28.527365082443357,0.1507764823772644,0.11771002728024996,2.891049114623441,0.6380564490043432,0.24506261456143216
min,19,4,374,374,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
max,38,6.7,781,850,773,678,777,645,660.5,891,12,6.21,6.03,63,56,100,1,1,25,3,2
1rd.qt,21,5.18,466,468,449,465,0,0,467,478.5,3,4.21,3.7949999999999995,12,11,19.64,0,0,0,0,0
3rd.qt,24,5.9,608,630,541,550.5,532,501,540.5,558,7.75,5.24,5.1425,45.25,36,64.29,0,0,3,0,0
RIC,3,0.7200000000000006,142,162,92,85.5,532,501,73.5,79.5,4.75,1.0300000000000002,1.3475000000000006,33.25,25,44.650000000000006,0,0,3,0,0
asimetria,1.2754061800584353,0.34132153994609316,0.49681573208050156,0.7022754732317494,-2.431141264367434,-2.60074110683289,-0.33893246900714324,-0.3970217358421469,-2.9663886131003627,-1.4480084557368362,0.34471387907725787,-1.331622925204446,-1.3973301577475112,0.21884401022702782,0.32851110278231543,0.328510815573856,4.22135651248743,5.2045164953040475,2.4851578845464446,2.655567258160574,5.157610979670036
curtosis,3.091975007276975,-0.46638911628024404,-0.6322170609731415,-0.44392298946376574,8.917489205381301,8.436405040860304,-1.5682131090381672,-1.634572326728363,10.855777231159331,1.1990347573649771,-1.011834827025228,1.8841442878176036,2.200449330343787,-1.2432351405921698,-1.136055813405763,-1.136084151580007,19.196769583247857,31.663482186775227,11.441839570522724,6.9019266045119085,28.665931886609492
C.V,0.1255610856621521,0.08219663655668369,0.1699897276346098,0.2024256820943618,0.1699897276346098,0.23652989017022097,0.7770439811690851,0.772934934598159,0.2239903782621499,0.4406346957543007,0.5241997469973569,0.24231072943574936,0.28845443397821907,0.5921157904199497,0.6802976730100484,0.6802960642070731,3.472627380379307,4.035772363894284,1.4252791153325648,2.389317766484349,4.792335573645785
"NA",340,295,295,295,295,295,295,295,295,295,242,337,352,352,352,352,352,352,352,352,352
