Estadisticos,PROM_NOTAS_E_MEDIA,PUNTAJE_NEM,PUNTAJE_RANKING,PTJE_LENGUAJE,PTJE_MATEMATICA,PTJE_HIST_CS_SOCIALES,PTJE_CIENCIAS,PROM_LENG_Y_MAT,INGRESO_BRUTO_FAMILIAR,PROMEDIO_PRIMER_ANNIO,PROMEDIO_ALUMNO_EN_CARRERA,CANT_RAMOS_INSCRITOS_CARRERA,CANT_RAMOS_APROBADOS_CARRERA,PORCENTAJE_AVANCE_CARRERA,CANT_RAMOS_OP2,CANT_RAMOS_OP3,CANT_RAMOS_OP4,PTJE_PONDERADO
promedio,6.150300717642345,670.2918477305648,715.7082371194628,572.7902655420181,573.3796405836291,535.5263753047259,567.3737057005573,573.0523914145682,6.072164948453608,5.475056375356558,5.7506529209621995,32.085910652920965,31.329896907216494,57.27954896302479,0.6872852233676976,0.041237113402061855,0.01718213058419244,646.8702141691832
mediana,6.18,682,729,579,586,522.7393162393163,577,583,6,5.6,5.92,34,33,58.93,0,0,0,642
des.Estandar,0.3360908441881779,67.39235277234916,87.4394037687732,78.6000501593737,74.16414662429412,61.98207595814552,73.71264136942547,67.27259244888522,2.6623068400598044,0.726372064692813,0.7312888385088654,16.023565860155728,15.850631434926715,26.965318547352528,1.8066381002468803,0.2157996727425154,0.13017348301241266,60.616091423904315
min,5,420,420,273,286,252,312,318,1,1,1,0,0,7.14,0,0,0,496
max,6.9,829,850,766,719,850,727,728,12,6.38,6.43,59,59,105.36,9,2,1,914
1rd.qt,6,631,662.5,530,536,522.7393162393163,528,538.0136612021857,4,5.295,5.735,20.5,20,38.394999999999996,0,0,0,599.0808080808081
3rd.qt,6.4,713,779.5,628,625,522.7393162393163,618,620.5,8,5.885,6.085,44,44,78.57,0,0,0,677
RIC,0.40000000000000036,82,117,98,89,0,90,82.48633879781426,4,0.5899999999999999,0.34999999999999964,23.5,24,40.175,0,0,0,77.91919191919192
asimetria,-0.8059646129379899,-0.5993928951146448,-0.5985424117757167,-0.4854551218316017,-0.938222088122252,2.624712656661791,-0.5973621265704191,-0.7057353375699028,-0.10673643306978492,-3.1881312768378196,-3.7437051321536337,-0.04395351748077534,-0.053172424961984883,0.003961076794176422,3.270415153102801,5.576710373807127,7.392576281204522,1.0239942438439587
curtosis,1.4654384353470027,0.34729151413190573,-0.07850022724732764,0.7585079695652701,1.3520208542668817,12.563937800291322,0.37942045075613784,1.0219192950132445,-0.7778663581311336,14.170647521438113,16.335996462146372,-1.2036004822343496,-1.1098526933382327,-1.1649718499725525,10.279682078163692,33.71582233480219,52.83177194081647,3.1216141932717942
C.V,0.05464624570699283,0.10054180578284261,0.12217185611932285,0.8953582838731643,0.12934562264681085,0.11574047295593314,0.12991902978374675,0.1173934416063149,0.43844442017962826,0.13266933066885703,0.12716622765446017,0.49939570154282065,0.505926702595555,0.4707669497320804,2.6286584358592107,5.233142064005999,7.576096711322416,0.09370672832997487
"NA",291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291
